,w,a,m
37,0.22601728130376103,0.2703850322376981,0.14873321979139495
38,0.22284150123418964,0.2708998997721751,0.14294738893596834
39,0.22422558307355148,0.2659024906562246,0.14103098498920144
40,0.22424477780169655,0.25323907358279213,0.1393353508817919
41,0.22880839512310266,0.25753587433632263,0.13762656636772733
42,0.23646774669377263,0.25935485178258394,0.1352318742872155
43,0.24789902155841528,0.24521886606895882,0.13727820903342539
44,0.24723756770199662,0.2504024648281477,0.13914351830645244
45,0.24479835887850104,0.2387440071836725,0.14231587373923166
46,0.2515511179584682,0.2492222811605427,0.1286205764942114
47,0.25999537293865643,0.26015660186876444,0.11781828488899587
48,0.2577471653174384,0.2577231339962367,0.11121540744055693
49,0.25708216324058,0.27541718551445005,0.10900404830541893
50,0.25608803717338985,0.2771691022945868,0.10229779806790293
51,0.25149217136452895,0.29115991857222684,0.10481985149970864
52,0.24807351862135604,0.28931230190345014,0.10316568317400486
53,0.23714522903824442,0.28197497106754793,0.10877587380493571
54,0.24040200568995285,0.25871021923374327,0.11277076628633904
55,0.24858829688090853,0.26544930948646955,0.11033403904425335
56,0.2516268497212233,0.2792658852924769,0.11107506158190456
57,0.2511902444519266,0.27227389029833005,0.11674396330239084
58,0.2557353506659642,0.27044528973142945,0.1156377024274539
59,0.2626660285614422,0.2701774666624987,0.11882063305907319
60,0.269613532561932,0.2764234975427046,0.12055428118320952
61,0.26950567979045154,0.2786844204031906,0.12535936935284006
62,0.2713135234027942,0.28109662445718264,0.12745312966755276
63,0.27511511203802513,0.30091135443573264,0.13474422591663984
64,0.27529988663712424,0.2679488254527874,0.13656215657061446
65,0.2802121529288689,0.26386841627711555,0.1348646716337146
66,0.27975311321241225,0.28907293558278063,0.14153868133374942
67,0.28086635761733353,0.28280722965657934,0.1460940036834965
68,0.2785761264562005,0.28150927320569524,0.1529883399519155
69,0.2810553225960898,0.2770264133322998,0.14920549433112595
70,0.28179086962912014,0.264695340967831,0.1555206592299718
71,0.28351459103371807,0.262433203472611,0.1571215980975486
72,0.28593407994610387,0.2750919898987107,0.16430278101305765
73,0.2870285762829762,0.26264607041642046,0.1696411406283127
74,0.2851433265796606,0.27010157517570377,0.17478891052905698
75,0.28427303599699927,0.2638581161919763,0.18582915971150163
76,0.28551792374119306,0.25952280526612376,0.19745819027275993
77,0.29352323072571557,0.2549195149701708,0.1975268689513815
78,0.2917794273330489,0.2529907203901136,0.1995250624617109
79,0.2890225599849114,0.2636802761425843,0.20252907238035575
